EvaluationID,SlopeCollected,SlopeStartTransect,SlopeEndTransect,SlopeReachLength,TotalElevationChangePass1,TotalElevationChangePass2,TotalElevationChangePass3,SlopeMethod,SlopeFlag,PoolsCollected,PoolReachLength,RecordID
AR-SS-8017_2013-06-17,Fully Collected,K,A,150,9.99,,,Transit,Only one pass,No Flow Not Collected,150,AR-SS-8017_2013-06-17
AR-SS-8019_2013-06-17,Fully Collected,K,A,150,6.83,,,Transit,Only one pass,Not Collected,150,AR-SS-8019_2013-06-17
AR-SS-8022_2013-06-12,Fully Collected,K,A,150,8.94,,,Transit,Only one pass,Not Collected,150,AR-SS-8022_2013-06-12
AR-SS-8030_2013-06-08,Fully Collected,K,A,150,7.56,,,Transit,Only one pass,No Flow Not Collected,150,AR-SS-8030_2013-06-08
HC-SS-8452_2013-07-10,Fully Collected,K,A,150,6.755,,,Transit,Only one pass,Not Collected,150,HC-SS-8452_2013-07-10
HC-SS-8454_2013-07-10,Fully Collected,K,A,150,16.41,,,Transit,Only one pass,No Flow Not Collected,150,HC-SS-8454_2013-07-10
HC-SS-8465_2013-07-06,Fully Collected,K,A,150,7.46,,,Transit,Only one pass,Not Collected,150,HC-SS-8465_2013-07-06
MN-LS-1021_2013-07-17,Fully Collected,K,A,150,2.5,,,Transit,Only one pass,Not Collected,150,MN-LS-1021_2013-07-17
MP-LS-2007_2013-07-05,Not Collected,,,,,,,null,,Not Collected,360,MP-LS-2007_2013-07-05
MP-RO-2061_2013-07-11,Fully Collected,K,A,920,1.015,,,Transit,Only one pass,Not Collected,920,MP-RO-2061_2013-07-11
MS-SS-3103_2013-07-04,Fully Collected,K,A,150,6.748,,,Transit,Only one pass,Not Collected,150,MS-SS-3103_2013-07-04
RS-SS-0001_2013-07-23,Fully Collected,K,A,150,31.21,,,Transit,Only one pass,Not Collected,150,RS-SS-0001_2013-07-23
SU-LS-8320_2013-07-07,Fully Collected,K,A,150,2.4,,,Transit,Only one pass,Not Collected,150,SU-LS-8320_2013-07-07
SU-LS-8340_2013-07-20,Fully Collected,K,A,150,0.64,,,Transit,Only one pass,Not Collected,150,SU-LS-8340_2013-07-20
SU-SS-8318_2013-07-14,Fully Collected,K,A,150,9.63,,,Transit,Only one pass,Not Collected,150,SU-SS-8318_2013-07-14
XN-LS-4013_2013-07-08,Fully Collected,K,A,150,7.81,,,Transit,Only one pass,Not Collected,150,XN-LS-4013_2013-07-08
XN-LS-4017_2013-07-20,Fully Collected,K,A,150,1.17,,,Transit,Only one pass,Not Collected,150,XN-LS-4017_2013-07-20
XN-LS-4002_2013-07-13,Partially Collected,K,B,252,1.81,,,Transit,Only one pass,Not Collected,280,XN-LS-4002_2013-07-13
XS-SS-6104_2013-07-01,Fully Collected,K,A,150,8.81,,,Transit,Only one pass,Not Collected,150,XS-SS-6104_2013-07-01
XS-LS-6017_2013-06-28,Fully Collected,K,A,150,6.995,,,Transit,Only one pass,Not Collected,150,XS-LS-6017_2013-06-28
OT-LS-7009_2013-06-26,Fully Collected,K,A,150,3.46,,,Transit,Only one pass,Not Collected,150,OT-LS-7009_2013-06-26
MP-LS-2008_2013-06-27,Fully Collected,K,A,305,5.89,,,Transit,Only one pass,Not Collected,305,MP-LS-2008_2013-06-27
XS-SS-6120_2013-06-30,Partially Collected,I,A,120,4.895,,,Transit,Only one pass,Not Collected,150,XS-SS-6120_2013-06-30
XE-SS-5130_2013-08-06,Fully Collected,K,A,150,3.84,,,Transit,Only one pass,No Flow Not Collected,150,XE-SS-5130_2013-08-06
MS-LS-3020_2013-08-01,Fully Collected,K,A,920,5.745,,,Transit,Only one pass,Not Collected,920,MS-LS-3020_2013-08-01
MS-SS-3113_2013-08-03,Fully Collected,K,A,240,6.18,,,Transit,Only one pass,Not Collected,240,MS-SS-3113_2013-08-03
MS-SS-3104_2013-08-04,Fully Collected,K,A,240,7.77,,,Transit,Only one pass,Not Collected,240,MS-SS-3104_2013-08-04
XS-LS-6029_2013-07-14,Fully Collected,K,A,164,0.49,,,Transit,Only one pass,Not Collected,164,XS-LS-6029_2013-07-14
XS-LS-6002_2013-07-16,Fully Collected,K,A,150,2.31,,,Transit,Only one pass,Not Collected,150,XS-LS-6002_2013-07-16
XS-RO-6085_2013-07-16,Partially Collected,K,A,194,0.7,,,Transit,Only one pass,Not Collected,194,XS-RO-6085_2013-07-16
XS-SS-6115_2013-07-17,Fully Collected,K,A,150,8.285,,,Transit,Only one pass,Not Collected,150,XS-SS-6115_2013-07-17
XS-LS-6038_2013-07-18,Fully Collected,K,A,150,0.885,,,Transit,Only one pass,Not Collected,150,XS-LS-6038_2013-07-18
XN-LS-4004_2013-07-19,Fully Collected,K,A,579,1.475,,,Transit,Only one pass,Not Collected,579,XN-LS-4004_2013-07-19
XS-SS-6114_2013-07-20,Fully Collected,K,A,150,1.7,,,Transit,Only one pass,Not Collected,150,XS-SS-6114_2013-07-20
XS-SS-6098_2013-07-21,Not Collected,,,,,,,null,,Not Collected,150,XS-SS-6098_2013-07-21
XS-SS-6125_2013-07-21,Fully Collected,K,A,150,0.11,,,Transit,Only one pass,Not Collected,150,XS-SS-6125_2013-07-21
MS-LS-3018_2013-07-06,Fully Collected,K,A,150,2.36,,,Transit,Only one pass,Not Collected,150,MS-LS-3018_2013-07-06
XS-RO-6080_2013-06-19,Fully Collected,K,A,150,0.31,,,Transit,Only one pass,No Flow Not Collected,150,XS-RO-6080_2013-06-19
XS-RM-6071_2013-06-20,Fully Collected,K,A,680,0.16,,,Transit,Only one pass,Not Collected,680,XS-RM-6071_2013-06-20
MS-LS-3001_2013-06-22,Fully Collected,K,A,280,3.73,,,Transit,Only one pass,Not Collected,280,MS-LS-3001_2013-06-22
XS-SS-6129_2013-07-02,Fully Collected,K,A,150,1.14,,,Transit,Only one pass,Not Collected,150,XS-SS-6129_2013-07-02
MN-RO-1082_2013-07-03,Fully Collected,K,A,800,3.24,,,Transit,Only one pass,Not Collected,800,MN-RO-1082_2013-07-03
MN-LS-1013_2013-07-02,Fully Collected,K,A,200,1.225,,,Transit,Only one pass,Not Collected,200,MN-LS-1013_2013-07-02
MP-SS-2070_2013-07-07,Fully Collected,K,A,150,0.95,,,Transit,Only one pass,Not Collected,150,MP-SS-2070_2013-07-07
MP-LS-2013_2013-07-15,Not Collected,,,,,,,null,,Not Collected,800,MP-LS-2013_2013-07-15
MP-SS-2094_2013-07-13,Fully Collected,K,A,150,11.95,,,Transit,Only one pass,Not Collected,150,MP-SS-2094_2013-07-13
SU-LS-8325_2013-07-17,Fully Collected,K,A,150,9.245,,,Transit,Only one pass,Not Collected,150,SU-LS-8325_2013-07-17
TP-LS-8228_2013-08-08,Fully Collected,K,A,150,0.09,,,Transit,Only one pass,Not Collected,150,TP-LS-8228_2013-08-08
SU-LS-8323_2013-07-18,Fully Collected,K,A,150,0.69,,,Transit,Only one pass,Not Collected,150,SU-LS-8323_2013-07-18
EL-SS-8132_2013-08-06,Fully Collected,K,A,150,1.36,,,Transit,Only one pass,Not Collected,150,EL-SS-8132_2013-08-06
AR-SS-8006_2013-06-11,Fully Collected,K,A,150,5.67,,,Transit,Only one pass,No Flow Not Collected,150,AR-SS-8006_2013-06-11
EL-LS-8130_2013-08-19,Fully Collected,K,A,150,2.31,,,Transit,Only one pass,Not Collected,150,EL-LS-8130_2013-08-19
SU-SS-8344_2013-07-21,Fully Collected,K,A,150,4.23,,,Transit,Only one pass,Not Collected,150,SU-SS-8344_2013-07-21
SU-LS-8336_2013-07-15,Fully Collected,K,A,150,1.12,,,Transit,Only one pass,Not Collected,150,SU-LS-8336_2013-07-15
EL-LS-8133_2013-08-17,Fully Collected,K,A,240,1.37,,,Transit,Only one pass,Not Collected,240,EL-LS-8133_2013-08-17
TP-LS-8240_2013-08-15,Partially Collected,J,D,90,3.16,,,Transit,Only one pass,Not Collected,105,TP-LS-8240_2013-08-15
EL-LS-8139_2013-08-17,Fully Collected,K,A,150,0.61,,,Transit,Only one pass,Not Collected,150,EL-LS-8139_2013-08-17
EL-SS-8127_2013-08-10,Fully Collected,K,A,160,4.11,,,Transit,Only one pass,Not Collected,160,EL-SS-8127_2013-08-10
EL-SS-8127_2013-08-20,Fully Collected,K,A,150,4.5,,,Transit,Only one pass,Not Collected,150,EL-SS-8127_2013-08-20
TP-SS-8225_2013-08-09,Fully Collected,K,A,150,12.33,,,Transit,Only one pass,No Flow Not Collected,150,TP-SS-8225_2013-08-09
TP-SS-8212_2013-08-07,Fully Collected,K,A,150,1.27,,,Transit,Only one pass,Not Collected,150,TP-SS-8212_2013-08-07
EL-LS-8134_2013-08-02,Fully Collected,K,A,160,6.56,,,Transit,Only one pass,Not Collected,160,EL-LS-8134_2013-08-02
EL-LS-8131_2013-08-08,Fully Collected,K,A,150,1.46,,,Transit,Only one pass,Not Collected,150,EL-LS-8131_2013-08-08
EL-SS-8135_2013-08-05,Fully Collected,K,A,150,1.93,,,Transit,Only one pass,Not Collected,150,EL-SS-8135_2013-08-05
TP-SS-8223_2013-08-04,Fully Collected,K,A,150,3.52,,,Transit,Only one pass,Not Collected,150,TP-SS-8223_2013-08-04
EL-LS-8121_2013-08-17,Fully Collected,K,A,280,0.97,,,Transit,Only one pass,Not Collected,280,EL-LS-8121_2013-08-17
EL-LS-8129_2013-08-18,Fully Collected,K,A,240,3.35,,,Transit,Only one pass,Not Collected,240,EL-LS-8129_2013-08-18
TP-LS-8224_2013-08-15,Fully Collected,K,A,150,8.16,,,Transit,Only one pass,No Flow Not Collected,150,TP-LS-8224_2013-08-15
HC-SS-8480_2013-07-05,Fully Collected,K,A,150,3.56,,,Transit,Only one pass,Not Collected,150,HC-SS-8480_2013-07-05
EL-SS-8124_2013-08-05,Fully Collected,K,A,150,8.29,,,Transit,Only one pass,Not Collected,150,EL-SS-8124_2013-08-05
EL-SS-8123_2013-08-03,Not Collected,,,,,,,null,,Not Collected,105,EL-SS-8123_2013-08-03
TP-SS-8231_2013-08-09,Fully Collected,K,A,150,2.83,,,Transit,Only one pass,Not Collected,150,TP-SS-8231_2013-08-09
TP-SS-8215_2013-08-08,Fully Collected,K,A,150,1.34,,,Transit,Only one pass,Not Collected,150,TP-SS-8215_2013-08-08
EL-LS-8134_2013-08-19,Fully Collected,K,A,150,2.16,,,Transit,Only one pass,Not Collected,150,EL-LS-8134_2013-08-19
HC-SS-8475_2013-07-12,Fully Collected,K,A,150,4.465,,,Transit,Only one pass,Not Collected,150,HC-SS-8475_2013-07-12
HC-SS-8456_2013-07-08,Fully Collected,K,A,150,4.84,,,Transit,Only one pass,Not Collected,150,HC-SS-8456_2013-07-08
SU-LS-8332_2013-07-15,Fully Collected,K,A,150,1.56,,,Transit,Only one pass,Not Collected,150,SU-LS-8332_2013-07-15
HC-SS-8486_2013-07-09,Fully Collected,K,A,150,22.19,,,Transit,Only one pass,Not Collected,150,HC-SS-8486_2013-07-09
SU-LS-8313_2013-07-22,Fully Collected,K,A,200,2.25,,,Transit,Only one pass,Not Collected,200,SU-LS-8313_2013-07-22
SU-RV-8314_2013-07-14,Fully Collected,K,A,150,1.12,,,Transit,Only one pass,Not Collected,150,SU-RV-8314_2013-07-14
SU-SS-8322_2013-07-19,Fully Collected,K,A,150,19.615,,,Transit,Only one pass,Not Collected,150,SU-SS-8322_2013-07-19
TP-LS-8235_2013-08-06,Fully Collected,K,A,150,2.34,,,Transit,Only one pass,Not Collected,150,TP-LS-8235_2013-08-06
TP-RV-8216_2013-08-16,Fully Collected,K,A,150,1.36,,,Transit,Only one pass,No Flow Not Collected,150,TP-RV-8216_2013-08-16
TP-RV-8230_2013-08-14,Fully Collected,K,A,150,1.63,,,Transit,Only one pass,No Flow Not Collected,150,TP-RV-8230_2013-08-14
MN-LS-1003_2013-07-20,Fully Collected,K,A,160,2.2,,,Transit,Only one pass,Not Collected,160,MN-LS-1003_2013-07-20
MN-LS-1004_2013-07-23,Fully Collected,K,A,150,6.43,,,Transit,Only one pass,Not Collected,150,MN-LS-1004_2013-07-23
XN-RO-4083_2013-07-18,Fully Collected,K,A,560,0.08,,,Transit,Only one pass,Not Collected,560,XN-RO-4083_2013-07-18
MN-RO-1084_2013-09-24,Fully Collected,K,A,600,3.815,,,Transit,Only one pass,Not Collected,600,MN-RO-1084_2013-09-24
MN-LS-1002_2013-09-23,Fully Collected,K,A,150,1.55,,,Transit,Only one pass,Not Collected,150,MN-LS-1002_2013-09-23
XN-SS-4130_2013-09-21,Fully Collected,K,A,150,5.535,,,Transit,Only one pass,No Flow Not Collected,150,XN-SS-4130_2013-09-21
MN-SS-1110_2013-09-25,Partially Collected,K,C,120,6.64,,,Transit,Only one pass,Not Collected,150,MN-SS-1110_2013-09-25
XN-RO-4084_2013-09-03,Fully Collected,K,A,160,0.33,,,Transit,Only one pass,Not Collected,160,XN-RO-4084_2013-09-03
MP-SS-2083_2013-08-31,Fully Collected,K,A,150,12.965,,,Transit,Only one pass,No Flow Not Collected,150,MP-SS-2083_2013-08-31
MP-LS-2011_2013-08-30,Fully Collected,K,A,150,0.249,,,Transit,Only one pass,Not Collected,150,MP-LS-2011_2013-08-30
MP-LS-2006_2013-09-01,Fully Collected,K,A,320,5.135,,,Transit,Only one pass,Not Collected,320,MP-LS-2006_2013-09-01
XN-LS-4016_2013-09-04,Fully Collected,K,A,240,6.21,,,Transit,Only one pass,Not Collected,240,XN-LS-4016_2013-09-04
XN-RM-4073_2013-08-22,Not Collected,,,,,,,null,,Not Collected,4000,XN-RM-4073_2013-08-22
MN-SS-1123_2013-07-31,Fully Collected,K,A,150,7.805,,,Transit,Only one pass,Not Collected,150,MN-SS-1123_2013-07-31
MN-SS-1099_2013-08-05,Fully Collected,F,A,150,19.77,,,Transit,Only one pass,No Flow Not Collected,150,MN-SS-1099_2013-08-05
MN-SS-1104_2013-07-19,Fully Collected,K,A,150,6.475,,,Transit,Only one pass,Not Collected,150,MN-SS-1104_2013-07-19
MN-LS-1004_2013-08-01,Fully Collected,K,A,150,6.65,,,Transit,Only one pass,Not Collected,150,MN-LS-1004_2013-08-01
XS-LS-6001_2013-06-29,Fully Collected,K,A,160,8.925,,,Transit,Only one pass,Not Collected,160,XS-LS-6001_2013-06-29
OT-LS-7007_2013-08-17,Fully Collected,K,A,150,0.26,,,Transit,Only one pass,Not Collected,150,OT-LS-7007_2013-08-17
XE-SS-5141_2013-08-23,Fully Collected,K,A,150,4.72,,,Transit,Only one pass,Not Collected,150,XE-SS-5141_2013-08-23
MS-LS-3019_2013-08-17,Fully Collected,K,A,240,3.57,,,Transit,Only one pass,Not Collected,240,MS-LS-3019_2013-08-17
XE-SS-5098_2013-08-22,Fully Collected,K,A,150,1.99,,,Transit,Only one pass,Not Collected,150,XE-SS-5098_2013-08-22
MS-SS-3130_2013-08-18,Fully Collected,K,A,150,4.94,,,Transit,Only one pass,Not Collected,150,MS-SS-3130_2013-08-18
MS-SS-3125_2013-08-19,Fully Collected,K,A,150,7.35,,,Transit,Only one pass,Not Collected,150,MS-SS-3125_2013-08-19
MS-LS-3012_2013-08-21,Not Collected,,,,,,,null,,Not Collected,280,MS-LS-3012_2013-08-21
MS-SS-3112_2013-08-16,Fully Collected,K,A,150,4.325,,,Transit,Only one pass,Not Collected,150,MS-SS-3112_2013-08-16
MS-SS-3103_2013-08-14,Fully Collected,K,A,150,5.53,,,Transit,Only one pass,Not Collected,150,MS-SS-3103_2013-08-14
MN-LS-1005_2013-07-17,Fully Collected,K,A,160,3.565,,,Transit,Only one pass,Not Collected,160,MN-LS-1005_2013-07-17
OT-LS-7015_2013-09-19,Fully Collected,K,A,560,0.685,,,Transit,Only one pass,Not Collected,560,OT-LS-7015_2013-09-19
OT-LS-7016_2013-09-20,Fully Collected,K,A,400,0.13,,,Transit,Only one pass,Not Collected,400,OT-LS-7016_2013-09-20
MN-LS-1010_2013-09-22,Fully Collected,K,A,150,3.64,,,Transit,Only one pass,Not Collected,150,MN-LS-1010_2013-09-22
MN-LS-1024_2013-09-23,Fully Collected,K,A,240,4.035,,,Transit,Only one pass,Not Collected,240,MN-LS-1024_2013-09-23
OT-LS-7011_2013-09-17,Fully Collected,K,A,160,0.015,,,Transit,Only one pass,Not Collected,160,OT-LS-7011_2013-09-17
OT-SS-7113_2013-09-15,Fully Collected,K,A,160,0.87,,,Transit,Only one pass,Not Collected,160,OT-SS-7113_2013-09-15
OT-SS-7129_2013-09-15,Fully Collected,K,A,150,0.95,,,Transit,Only one pass,Not Collected,150,OT-SS-7129_2013-09-15
OT-LS-7004_2013-09-14,Fully Collected,K,A,160,0.68,,,Transit,Only one pass,Not Collected,160,OT-LS-7004_2013-09-14
OT-LS-7020_2013-09-13,Fully Collected,K,A,150,0.86,,,Transit,Only one pass,Not Collected,150,OT-LS-7020_2013-09-13
OT-RO-7097_2013-08-13,Fully Collected,K,A,1240,1.16,,,Transit,Only one pass,Not Collected,1240,OT-RO-7097_2013-08-13
OT-RO-7092_2013-08-19,Fully Collected,K,A,2400,3.2,,,Transit,Only one pass,Not Collected,2400,OT-RO-7092_2013-08-19
OT-LS-7008_2013-08-15,Fully Collected,K,A,150,0.19,,,Transit,Only one pass,Not Collected,150,OT-LS-7008_2013-08-15
MN-LS-1020_2013-07-22,Fully Collected,K,A,160,1.94,,,Transit,Only one pass,Not Collected,160,MN-LS-1020_2013-07-22
OT-LS-7002_2013-08-28,Fully Collected,K,A,640,1.97,,,Transit,Only one pass,Not Collected,640,OT-LS-7002_2013-08-28
MP-LS-2018_2013-08-27,Fully Collected,K,A,520,3.08,,,Transit,Only one pass,Not Collected,520,MP-LS-2018_2013-08-27
XN-SS-4128_2013-09-18,Fully Collected,K,A,150,7.28,,,Transit,Only one pass,Not Collected,150,XN-SS-4128_2013-09-18
XN-SS-4128_2013-08-31,Fully Collected,K,A,150,6.44,,,Transit,Only one pass,Not Collected,150,XN-SS-4128_2013-08-31
XE-SS-5096_2013-08-04,Fully Collected,K,A,150,4.455,,,Transit,Only one pass,Not Collected,150,XE-SS-5096_2013-08-04
XE-SS-5129_2013-08-11,Fully Collected,K,A,150,15.57,,,Transit,Only one pass,No Flow Not Collected,150,XE-SS-5129_2013-08-11
XE-RM-5073_2013-09-10,Not Collected,,,,,,,null,,Not Collected,4000,XE-RM-5073_2013-09-10
XE-RO-5086_2013-08-21,Fully Collected,K,A,200,0.2,,,Transit,Only one pass,Not Collected,200,XE-RO-5086_2013-08-21
XE-RO-5086_2013-08-01,Fully Collected,K,A,200,0.185,,,Transit,Only one pass,Not Collected,200,XE-RO-5086_2013-08-01
OT-LS-7003_2013-08-02,Fully Collected,K,A,400,6.035,,,Transit,Only one pass,Not Collected,400,OT-LS-7003_2013-08-02
XE-LS-5013_2013-08-07,Fully Collected,K,A,150,0.2,,,Transit,Only one pass,No Flow Not Collected,150,XE-LS-5013_2013-08-07
XE-LS-5002_2013-08-05,Fully Collected,K,A,400,6.28,,,Transit,Only one pass,Not Collected,400,XE-LS-5002_2013-08-05
MN-LS-1016_2013-08-03,Fully Collected,K,A,160,6.14,,,Transit,Only one pass,Not Collected,160,MN-LS-1016_2013-08-03
XS-LS-6029_2013-07-17,Fully Collected,K,A,150,0.395,,,Transit,Only one pass,Not Collected,150,XS-LS-6029_2013-07-17
MN-SS-1104_2013-08-03,Fully Collected,K,A,150,7.13,,,Transit,Only one pass,Not Collected,150,MN-SS-1104_2013-08-03
NPRA15-SS-9167_2015-07-10,Not Collected,,,,,,,null,,Not Collected,,NPRA15-SS-9167_2015-07-10
NPRA15-LS-9056_2015-07-13,Not Collected,,,,,,,null,,Not Collected,,NPRA15-LS-9056_2015-07-13
NPRA15-SS-9147_2015-07-14,Not Collected,,,,,,,null,,Not Collected,,NPRA15-SS-9147_2015-07-14
NPRA15-SS-9210_2015-07-15,Not Collected,,,,,,,null,,Not Collected,,NPRA15-SS-9210_2015-07-15
NPRA15-LS-9057_2015-07-16,Not Collected,,,,,,,null,,Not Collected,,NPRA15-LS-9057_2015-07-16
NPRA15-SS-9220_2015-07-17,Not Collected,,,,,,,null,,Not Collected,,NPRA15-SS-9220_2015-07-17
NPRA15-LS-9008_2015-07-18,Not Collected,,,,,,,null,,Not Collected,,NPRA15-LS-9008_2015-07-18
NPRA15-LS-9048_2015-07-19,Not Collected,,,,,,,null,,Not Collected,,NPRA15-LS-9048_2015-07-19
NPRA15-LS-9002_2015-07-20,Not Collected,,,,,,,null,,Not Collected,,NPRA15-LS-9002_2015-07-20
NPRA15-SS-9194_2015-07-22,Not Collected,,,,,,,null,,Not Collected,,NPRA15-SS-9194_2015-07-22
NPRA15-SS-9222_2015-07-13,Not Collected,,,,,,,null,,Not Collected,,NPRA15-SS-9222_2015-07-13
NPRA15-SS-9186_2015-07-23,Not Collected,,,,,,,null,,Not Collected,,NPRA15-SS-9186_2015-07-23
NPRA15-LS-9025_2015-07-23,Not Collected,,,,,,,null,,Not Collected,,NPRA15-LS-9025_2015-07-23
NPRA15-SS-9223_2015-07-15,Not Collected,,,,,,,null,,Not Collected,,NPRA15-SS-9223_2015-07-15
NPRA15-SS-9148_2015-07-24,Not Collected,,,,,,,null,,Not Collected,,NPRA15-SS-9148_2015-07-24
NPRA15-SS-9157_2015-07-24,Not Collected,,,,,,,null,,Not Collected,,NPRA15-SS-9157_2015-07-24
NPRA15-SS-9238_2015-07-19,Not Collected,,,,,,,null,,Not Collected,,NPRA15-SS-9238_2015-07-19
NPRA15-SS-9155_2015-07-14,Not Collected,,,,,,,null,,Not Collected,,NPRA15-SS-9155_2015-07-14
NPRA15-LS-9001_2015-07-18,Not Collected,,,,,,,null,,Not Collected,,NPRA15-LS-9001_2015-07-18
NPRA15-LS-9015_2015-07-20,Not Collected,,,,,,,null,,Not Collected,,NPRA15-LS-9015_2015-07-20
NPRA15-SS-9183_2015-07-25,Not Collected,,,,,,,null,,Not Collected,,NPRA15-SS-9183_2015-07-25
NPRA15-LS-9024_2015-07-25,Not Collected,,,,,,,null,,Not Collected,,NPRA15-LS-9024_2015-07-25
NPRA15-SS-9175_2015-07-22,Not Collected,,,,,,,null,,Not Collected,,NPRA15-SS-9175_2015-07-22
NPRA15-SS-9185_2015-07-25,Not Collected,,,,,,,null,,Not Collected,,NPRA15-SS-9185_2015-07-25
NPRA15-LS-9059_2015-07-16,Not Collected,,,,,,,null,,Not Collected,,NPRA15-LS-9059_2015-07-16
NPRA15-SS-9208_2015-07-17,Not Collected,,,,,,,null,,Not Collected,,NPRA15-SS-9208_2015-07-17
AF-SS2-9145_2015-08-01,Fully Collected,A,K,150,8.311896,,,Transit,Only one pass,Not Collected,150,AF-SS2-9145_2015-08-01
MP-SS-2090_2015-09-10,Fully Collected,A,K,150,0,3.62,3.73,Transit,Within 10 percent,Fully Collected,150,MP-SS-2090_2015-09-10
XN-RM-4072_2014-06-11,Not Collected,,,,,,,null,,Not Collected,4000,XN-RM-4072_2014-06-11
MS-SS-3105_2014-07-03,Partially Collected,,,90,7.83,,,null,Only one pass,Fully Collected,90,MS-SS-3105_2014-07-03
XE-SS-5126_2014-07-07,Fully Collected,A,K,150,1.17,1.14,,Transit,Within 10 percent,Fully Collected,150,XE-SS-5126_2014-07-07
NY-LS-9232_2015-06-12,Fully Collected,A,K,150,1.94,1.915,,Transit,Within 10 percent,Fully Collected,150,NY-LS-9232_2015-06-12
MP-SS-2080_2014-06-25,Fully Collected,A,K,150,5.59,5.17,,Transit,Within 10 percent,Fully Collected,150,MP-SS-2080_2014-06-25
XN-LS-4014_2015-07-14,Fully Collected,A,K,150,0.66,0.67,,Transit,Within 10 percent,Fully Collected,150,XN-LS-4014_2015-07-14
